"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x613490504","x1181591972408156165",2019-10-08 15:27:33,"NWWevents","Excited to announce @DataClarity  will be presenting at the IBM Data and AI Forum in #Miami in 15 days.  If you're interested in how to transform your business, make sure to add this session to your calendar! https://t.co/b80sJgYlpA
#analytics #data #businessintelligence #cognos https://t.co/eNIAB8p9bw","TweetDeck",140,,,,FALSE,TRUE,0,3,,,"Miami",,,,,,,,,,,,,"x319289506 x319289506","DataClarity DataClarity","en",,,,,,,,,,,,,,,,"x1181575649049432064","Excited to announce @DataClarity  will be presenting at the IBM Data and AI Forum in #Miami in 15 days.  If you're interested in how to transform your business, make sure to add this session to your calendar! https://t.co/b80sJgYlpA
#analytics #data #businessintelligence #cognos https://t.co/eNIAB8p9bw",2019-10-08 14:22:42,"Twitter Web App",1,3,"x319289506","DataClarity","DataClarity",286,35,544,"","At DataClarity Corporation, our mission is to deliver solutions that empower people to make decisions that maximize performance.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NWWevents/status/1181591972408156165","Network World Events","","Leading events for networking & IT professionals, from IDG. #FutureITIDG #Cloud #IoT #data #CTO #CIO #CISO #IT #Tech #mobile #Virtualization #digital #security","https://t.co/vEXWXknlhB",FALSE,1631,4948,76,3513,14,2012-06-20 14:43:34,FALSE,"https://t.co/vEXWXknlhB","http://events.networkworld.com/IDGE",,"https://pbs.twimg.com/profile_banners/613490504/1458653466","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1135628165966172160/7q-r6niH_normal.png"
"x1303168188","x1181591970671558656",2019-10-08 15:27:33,"zimei_no_ri","Excited to announce @DataClarity  will be presenting at the IBM Data and AI Forum in #Miami in 15 days.  If you're interested in how to transform your business, make sure to add this session to your calendar! https://t.co/b80sJgYlpA
#analytics #data #businessintelligence #cognos https://t.co/eNIAB8p9bw","Twitter Web App",140,,,,FALSE,TRUE,0,3,,,"Miami",,,,,,,,,,,,,"x319289506 x319289506","DataClarity DataClarity","en",,,,,,,,,,,,,,,,"x1181575649049432064","Excited to announce @DataClarity  will be presenting at the IBM Data and AI Forum in #Miami in 15 days.  If you're interested in how to transform your business, make sure to add this session to your calendar! https://t.co/b80sJgYlpA
#analytics #data #businessintelligence #cognos https://t.co/eNIAB8p9bw",2019-10-08 14:22:42,"Twitter Web App",1,3,"x319289506","DataClarity","DataClarity",286,35,544,"","At DataClarity Corporation, our mission is to deliver solutions that empower people to make decisions that maximize performance.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/zimei_no_ri/status/1181591970671558656","AI_OF_NATURE VER.extreme_prg-ing","<U+81EA><U+7FD2><U+7528> NOT<U+9854><U+51FA><U+3057><U+4EA4><U+6D41><U+7528>","#<U+682A><U+5F0F><U+8B72><U+6E21> #<U+7B2C><U+4E09><U+8005><U+5272><U+5F53><U+5897><U+8CC7> #<U+682A><U+5F0F><U+4EA4><U+63DB> #<U+682A><U+5F0F><U+79FB><U+8EE2> #<U+4E8B><U+696D><U+8B72><U+6E21> #<U+65B0><U+8A2D><U+5408><U+4F75> #<U+5438><U+53CE><U+5408><U+4F75> #<U+65B0><U+8A2D><U+5206><U+5272> #<U+5438><U+53CE><U+5206><U+5272> #EV #EBITDA #DD #<U+72EC><U+7ACB><U+8D77><U+696D> #Redmine #Java #Python #<U+6CD5><U+52D9> #<U+7A0E><U+52D9> #<U+4F1A><U+8A08> #<U+8CA1><U+52D9> #<U+7D4C><U+7406> #<U+7DCF><U+52D9> #<U+7D4C><U+55B6> #<U+7A7A><U+306E><U+5F8B><U+8005> #<U+795E><U+6069><U+980C><U+6B4C> #<U+7BA1><U+7406><U+8077> #<U+7BA1><U+7406><U+8077><U+7814><U+4FEE>",,FALSE,3756,4939,1550,502512,131985,2013-03-26 09:23:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/1303168188/1562435059","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/1147562119195316228/lrtqFC7u_normal.png"
"x49678771","x1181591889201553408",2019-10-08 15:27:13,"CIOevents","Excited to announce @DataClarity  will be presenting at the IBM Data and AI Forum in #Miami in 15 days.  If you're interested in how to transform your business, make sure to add this session to your calendar! https://t.co/b80sJgYlpA
#analytics #data #businessintelligence #cognos https://t.co/eNIAB8p9bw","TweetDeck",140,,,,FALSE,TRUE,0,3,,,"Miami",,,,,,,,,,,,,"x319289506 x319289506","DataClarity DataClarity","en",,,,,,,,,,,,,,,,"x1181575649049432064","Excited to announce @DataClarity  will be presenting at the IBM Data and AI Forum in #Miami in 15 days.  If you're interested in how to transform your business, make sure to add this session to your calendar! https://t.co/b80sJgYlpA
#analytics #data #businessintelligence #cognos https://t.co/eNIAB8p9bw",2019-10-08 14:22:42,"Twitter Web App",1,3,"x319289506","DataClarity","DataClarity",286,35,544,"","At DataClarity Corporation, our mission is to deliver solutions that empower people to make decisions that maximize performance.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CIOevents/status/1181591889201553408","CIO Events","","Trusted educational & networking forums for the nation's senior IT executives. #CIOPIDG #Cloud #IoT #data #CTO #CIO #CISO #Tech #digital #security #FutureITIDG","http://t.co/cDHCReJXqK",FALSE,7126,6899,285,10084,200,2009-06-22 16:25:49,FALSE,"http://t.co/cDHCReJXqK","http://events.cio.com",,"https://pbs.twimg.com/profile_banners/49678771/1458653269","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1135558667074461697/o1oTDkPN_normal.png"
"x1169607215050907648","x1181591783177887750",2019-10-08 15:26:48,"PapiPetite_","Business data analytics <U+0001F92F>","Twitter for iPhone",25,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"lt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PapiPetite_/status/1181591783177887750","J","Nottinghamanchester","these tweets are not a true representation of who I am.",,FALSE,59,96,0,680,469,2019-09-05 13:44:31,FALSE,,,,"https://pbs.twimg.com/profile_banners/1169607215050907648/1569777747",,"http://pbs.twimg.com/profile_images/1178168784747712513/TJ0ow9IL_normal.jpg"
"x9605212","x1181591383745990662",2019-10-08 15:25:13,"chettr","7 Ways to Ensure that your organization's Data Culture is Helping your Transformation ...... https://t.co/ChfCN2L2Xx  McKinsey  #digitaltransformation  innovation #leadership https://t.co/UzcUWW6ip4","Twitter for iPhone",140,,,,FALSE,TRUE,0,3,,,,,"ow.ly/44Ih30m7XLt","https://t.co/ChfCN2L2Xx","http://ow.ly/44Ih30m7XLt",,,,,,,,,"x476443251","MOutfield","en",,,,,,,,,,,,,,,,"x1181570271771279360","7 Ways to Ensure that your organization's Data Culture is Helping your Transformation ...... https://t.co/ChfCN2L2Xx  McKinsey  #digitaltransformation  innovation #leadership https://t.co/UzcUWW6ip4",2019-10-08 14:01:19,"The Social Jukebox",2,3,"x476443251","MOutfield","David Hubbard",61833,34812,69565,"New York, NY","Collaborating With #B2B Clients To Drive Profitable Revenue Growth: #Leadership #Marketing #ProdMgmt #Sales. Join me on LinkedIn: https://t.co/ExesZNFxh7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/chettr/status/1181591383745990662","Chett Rubenstein","Bay Shore, NY","Director, Services Delivery @Cisco. Father, son, guitarist, cloud, automation & data dude. #AI #Cloud #IoT #Automation. These tweets are my own, not Cisco’s.","https://t.co/aUJJnaK70p",FALSE,1418,4369,15,3039,67,2007-10-22 20:07:22,FALSE,"https://t.co/aUJJnaK70p","https://www.linkedin.com/in/chettrubenstein/",,,"http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/517780502703398914/bWLf6lMF_normal.jpeg"
"x975452621522853890","x1181590670642950150",2019-10-08 15:22:23,"e_nterdiscipl","Are you solving your whole problem? Just getting OT and IT to work together isn’t going to move the needle against your competitors who are developing new business models and integrated solutions. #IIoT #DigitalTransformation #Analytics #IoT https://t.co/0CfFsh6lJY https://t.co/lQZgrQ7OyE","inter discipl",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x1242659593","bright_wolf","en",,,,,,,,,,,,,,,,"x1181590476660641794","Are you solving your whole problem? Just getting OT and IT to work together isn’t going to move the needle against your competitors who are developing new business models and integrated solutions. #IIoT #DigitalTransformation #Analytics #IoT https://t.co/0CfFsh6lJY https://t.co/lQZgrQ7OyE",2019-10-08 15:21:37,"Twitter Web App",0,1,"x1242659593","bright_wolf","Bright Wolf",505,174,742,"Durham, NC","Creating better business outcomes for equipment manufacturers and global enterprises through industrial IoT and practical digital transformation. https://t.co/3pCwodxSc3",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/e_nterdiscipl/status/1181590670642950150","Interdisciplinarians.org","","We believe in interdisciplinary approach to tackle current challenges in economy, technology, culture and politics.","https://t.co/vZ2FmuVdKV",FALSE,1401,6,77,53157,0,2018-03-18 19:23:22,FALSE,"https://t.co/vZ2FmuVdKV","http://interdisciplinarians.org",,"https://pbs.twimg.com/profile_banners/975452621522853890/1521402326",,"http://pbs.twimg.com/profile_images/975455769285013516/v9woXI7E_normal.jpg"
"x304521922","x1181590584336769026",2019-10-08 15:22:02,"SASsoftwareUKI","It's coming...this year’s #AnalyticsX conference in Milan! A gathering of more than 1,500 #data scientists and business leaders passionate about #AI and #analytics. Register now for the last remaining tickets! https://t.co/I2c5T7gRDr https://t.co/47RfdRyo42","Twitter Web App",233,,,,FALSE,FALSE,1,0,,,"AnalyticsX data AI analytics",,"sas.com/gms/redirect.j…","https://t.co/I2c5T7gRDr","https://www.sas.com/gms/redirect.jsp?detail=GMS115558_159240","http://pbs.twimg.com/media/EGXaXXPWwAEOHH2.jpg","https://t.co/47RfdRyo42","https://twitter.com/SASsoftwareUKI/status/1181590584336769026/photo/1","photo","http://pbs.twimg.com/media/EGXaXXPWwAEOHH2.jpg","https://t.co/47RfdRyo42","https://twitter.com/SASsoftwareUKI/status/1181590584336769026/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SASsoftwareUKI/status/1181590584336769026","SAS Software UKI","UK","The official Twitter account for SAS Software in the UK & Ireland. We give people the #powertoknow through data and analytics.","http://t.co/B9N7c7jLBf",FALSE,9564,823,335,11353,2034,2011-05-24 17:14:32,FALSE,"http://t.co/B9N7c7jLBf","http://www.sas.com/uk",,"https://pbs.twimg.com/profile_banners/304521922/1569311597","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/791978597825339392/jUIcE_MN_normal.jpg"
"x1242659593","x1181590476660641794",2019-10-08 15:21:37,"bright_wolf","Are you solving your whole problem? Just getting OT and IT to work together isn’t going to move the needle against your competitors who are developing new business models and integrated solutions. #IIoT #DigitalTransformation #Analytics #IoT https://t.co/0CfFsh6lJY https://t.co/lQZgrQ7OyE","Twitter Web App",265,,,,FALSE,FALSE,0,1,,,"IIoT DigitalTransformation Analytics IoT",,"brightwolf.com","https://t.co/0CfFsh6lJY","http://brightwolf.com","http://pbs.twimg.com/media/EGXaRorXYAADcsr.jpg","https://t.co/lQZgrQ7OyE","https://twitter.com/bright_wolf/status/1181590476660641794/photo/1","photo","http://pbs.twimg.com/media/EGXaRorXYAADcsr.jpg","https://t.co/lQZgrQ7OyE","https://twitter.com/bright_wolf/status/1181590476660641794/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bright_wolf/status/1181590476660641794","Bright Wolf","Durham, NC","Creating better business outcomes for equipment manufacturers and global enterprises through industrial IoT and practical digital transformation. https://t.co/3pCwodxSc3","https://t.co/3pCwodxSc3",FALSE,505,174,69,742,21,2013-03-05 02:13:54,FALSE,"https://t.co/3pCwodxSc3","http://brightwolf.com",,"https://pbs.twimg.com/profile_banners/1242659593/1411051814","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/512614705601327106/S0Li3iQq_normal.png"
"x2696355324","x1181589849125609474",2019-10-08 15:19:07,"Integrated_M","Turn reviews into business intelligence with AI-powered review platforms

#Analytics #BusinessIntelligence #AI #IntegratedMarketing #Business #SmallBusiness

https://t.co/M5rpx5Jqgz https://t.co/GyiJFWLRnZ","Blog2Social APP",205,,,,FALSE,FALSE,0,0,,,"Analytics BusinessIntelligence AI IntegratedMarketing Business SmallBusiness",,"IntegratedMarketing.pro venturebeat.com/2019/10/03/tur…","https://t.co/M5rpx5Jqgz https://t.co/GyiJFWLRnZ","http://www.IntegratedMarketing.pro https://venturebeat.com/2019/10/03/turn-reviews-into-business-intelligence-with-ai-powered-review-platforms-vb-live/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Integrated_M/status/1181589849125609474","Integrated Marketing Platform","Global","#Marketing #Strategy #Media #Communication #Technology #Digital #Social #Search #Web #Mobile #DOOH #IntegratedMarketing <U+25BA> info @ integratedmarketing (dot) pro","https://t.co/t75CFHUGtp",FALSE,2067,4999,12,8272,1737,2014-07-31 18:50:10,FALSE,"https://t.co/t75CFHUGtp","http://www.IntegratedMarketing.pro",,"https://pbs.twimg.com/profile_banners/2696355324/1558182386","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1138834189413781504/9a_H2yE1_normal.png"
"x2696355324","x1181589122420486147",2019-10-08 15:16:14,"Integrated_M","Nine Things To Do Before You Invest In Business Intelligence Software

#Analytics #BusinessIntelligence #Software #IntegratedMarketing #Business #SmallBusiness

https://t.co/M5rpx5Jqgz https://t.co/1kQhMBctmY","Blog2Social APP",208,,,,FALSE,FALSE,0,0,,,"Analytics BusinessIntelligence Software IntegratedMarketing Business SmallBusiness",,"IntegratedMarketing.pro forbes.com/sites/forbeste…","https://t.co/M5rpx5Jqgz https://t.co/1kQhMBctmY","http://www.IntegratedMarketing.pro https://www.forbes.com/sites/forbestechcouncil/2019/10/08/nine-things-to-do-before-you-invest-in-business-intelligence-software/#35ae067da303",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Integrated_M/status/1181589122420486147","Integrated Marketing Platform","Global","#Marketing #Strategy #Media #Communication #Technology #Digital #Social #Search #Web #Mobile #DOOH #IntegratedMarketing <U+25BA> info @ integratedmarketing (dot) pro","https://t.co/t75CFHUGtp",FALSE,2067,4999,12,8272,1737,2014-07-31 18:50:10,FALSE,"https://t.co/t75CFHUGtp","http://www.IntegratedMarketing.pro",,"https://pbs.twimg.com/profile_banners/2696355324/1558182386","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1138834189413781504/9a_H2yE1_normal.png"
"x2155080711","x1181589558942736384",2019-10-08 15:17:58,"JuleMcGoldrick","@Insurity extends its leadership in #predictiveanalytics w/InsureRight Manage 2.0. By combining historical, real-time, &amp; predictive data, this generates the granular insights needed to understand both where your business is &amp; where it’s headed. https://t.co/9KiiqCnaoU https://t.co/W7pHXbQfGO","GaggleAMP",144,,,,FALSE,TRUE,0,6,,,"predictiveanalytics",,,,,,,,,,,,,"x425047153 x425047153","Insurity Insurity","en",,,,,,,,,,,,,,,,"x1172180529409658880","@Insurity extends its leadership in #predictiveanalytics w/InsureRight Manage 2.0. By combining historical, real-time, &amp; predictive data, this generates the granular insights needed to understand both where your business is &amp; where it’s headed. https://t.co/9KiiqCnaoU https://t.co/W7pHXbQfGO",2019-09-12 16:09:50,"Twitter Web App",1,6,"x425047153","Insurity","Insurity",821,0,1316,"Hartford, CT","Insurity offers innovative and flexible insurance technology that allows our clients to meet their business goals and offer a simplified insurance experience.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JuleMcGoldrick/status/1181589558942736384","Jules","Canada","",,FALSE,32,65,0,878,116,2013-10-27 00:59:43,FALSE,,,,"https://pbs.twimg.com/profile_banners/2155080711/1517971450","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/911988663516585984/hfY7o7_F_normal.jpg"
"x322698264","x1181589320806756353",2019-10-08 15:17:01,"RevistaNeo","Hugo Pimentel de Dentsu Aegis, presenta ""La publicidad en el ecosistema del Business Analytics, durante el foro Métricas y Tendencias 2020 del CIM. https://t.co/4zcJKpqp86","Twitter for Android",147,,,,FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/media/EGXZN3tU0AEGf9p.jpg","https://t.co/4zcJKpqp86","https://twitter.com/RevistaNeo/status/1181589320806756353/photo/1","photo","http://pbs.twimg.com/media/EGXZN3tU0AEGf9p.jpg","https://t.co/4zcJKpqp86","https://twitter.com/RevistaNeo/status/1181589320806756353/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RevistaNeo/status/1181589320806756353","NEO","México","NEO es una empresa dedicada a difundir y promover el marketing. Nuestro enfoque es analizar el contexto en torno a las tendencias de marketing en Me´xico.","https://t.co/hiUIKXjM1j",FALSE,13506,3122,462,27547,760,2011-06-23 16:08:37,FALSE,"https://t.co/hiUIKXjM1j","https://www.revistaneo.com/",,"https://pbs.twimg.com/profile_banners/322698264/1570122679","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1179816422538506240/IWKppcts_normal.jpg"
"x14763855","x1181589027520163840",2019-10-08 15:15:51,"smoothsale","7 Ways to Ensure that your organization's Data Culture is Helping your Transformation ...... https://t.co/ChfCN2L2Xx  McKinsey  #digitaltransformation  innovation #leadership https://t.co/UzcUWW6ip4","Twitter for iPhone",140,,,,FALSE,TRUE,0,3,,,,,"ow.ly/44Ih30m7XLt","https://t.co/ChfCN2L2Xx","http://ow.ly/44Ih30m7XLt",,,,,,,,,"x476443251","MOutfield","en",,,,,,,,,,,,,,,,"x1181570271771279360","7 Ways to Ensure that your organization's Data Culture is Helping your Transformation ...... https://t.co/ChfCN2L2Xx  McKinsey  #digitaltransformation  innovation #leadership https://t.co/UzcUWW6ip4",2019-10-08 14:01:19,"The Social Jukebox",2,3,"x476443251","MOutfield","David Hubbard",61833,34812,69565,"New York, NY","Collaborating With #B2B Clients To Drive Profitable Revenue Growth: #Leadership #Marketing #ProdMgmt #Sales. Join me on LinkedIn: https://t.co/ExesZNFxh7",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/smoothsale/status/1181589027520163840","Elinor Stutz","Speaking and Consulting Worldwide","Inspirational Speaker, International Best-Selling Author, and Sales Consultant at Smooth Sale, A Sales Training Company.","http://t.co/zjMUAMCINw",FALSE,55348,51348,4710,300769,55860,2008-05-13 20:10:36,FALSE,"http://t.co/zjMUAMCINw","http://www.smoothsale.net/blog/",,"https://pbs.twimg.com/profile_banners/14763855/1472137131","http://abs.twimg.com/images/themes/theme17/bg.gif","http://pbs.twimg.com/profile_images/757984876645720064/yhajiVam_normal.jpg"
"x34180045","x1181588852604952576",2019-10-08 15:15:09,"tmj_rip_itpm","Interested in a job in #Marlborough, MA? This could be a great fit. Click the link in our bio to apply: Business Analytics Consultant at TJX Companies, Inc. #ProjectMgmt","CareerArc 2.0",169,,,,FALSE,FALSE,0,0,,,"Marlborough ProjectMgmt",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/fbe7a12a76a49216.json","Marlborough","Marlborough, MA","city","United States","US","42.3459271 -71.5522874","-71.5522874 42.3459271","-71.625705 -71.475702 -71.475702 -71.625705 42.3109818 42.3109818 42.380659 42.380659","https://twitter.com/tmj_rip_itpm/status/1181588852604952576","TMJ-RIP IT PM Jobs","Providence, RI","Follow this account for geo-targeted IT-PM/BA job tweets in Providence, RI. Need help? Tweet us at @CareerArc!","https://t.co/VIuq4XnW0V",FALSE,234,247,21,380,0,2009-04-22 04:18:33,FALSE,"https://t.co/VIuq4XnW0V","http://bit.ly/2G6z7DK",,"https://pbs.twimg.com/profile_banners/34180045/1453404151","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/690253149689352192/fBOFx5ll_normal.jpg"
"x1264775790","x1181587540538736641",2019-10-08 15:09:57,"Angela_Uzzo","#JobAlert Seeking a Business Intelligence Manager in NYC with 6+ years experience and analytical leadership across finance, merchandising and operations. Should have strong skills in SQL, R or Python, BI tools, and ETL concepts. #Analytics https://t.co/ZEEBCLvW9G https://t.co/ZLPH5trpIz","GaggleAMP",140,,,,FALSE,TRUE,0,1,,,"JobAlert",,,,,,,,,,,,,"x36659889","JBCStyle","en",,,,,,,,,,,,,,,,"x1181563486947676160","#JobAlert Seeking a Business Intelligence Manager in NYC with 6+ years experience and analytical leadership across finance, merchandising and operations. Should have strong skills in SQL, R or Python, BI tools, and ETL concepts. #Analytics https://t.co/ZEEBCLvW9G https://t.co/ZLPH5trpIz",2019-10-08 13:34:22,"Buffer",1,1,"x36659889","JBCStyle","JBCStyle",8402,209,20960,"New York, NY","The leading global search firm owning the niche industries of fashion, beauty and lifestyle. Find your dream job today. #JBCStyle",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Angela_Uzzo/status/1181587540538736641","Angela Uzzo","New York, NY","Director of Recruitment @jbcconnect; east coast/west coast girl, unlikely F-1 fan, Boston Terrier obsessed.","http://t.co/tDUXUlCOfH",FALSE,267,463,61,7152,51,2013-03-13 15:51:32,FALSE,"http://t.co/tDUXUlCOfH","http://www.jbcconnect.com",,"https://pbs.twimg.com/profile_banners/1264775790/1416328376","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/3375492340/a52ebb54fdf720f732600e339775c35f_normal.jpeg"
"x817634978","x1181587446925914113",2019-10-08 15:09:34,"Domenclature","FOR SALE NOW:

https://t.co/Mx4X2al7eF 
CloudReporters .com

15% OFF!

#Technology #Innovation #BigData #SEO #Markets #Investing #Ai  #Business #Tech #Cloud #domaining #blog #Chat #China #UK #Computing #Art #Hosting #Canada #Germany #Tech #Analytics
https://t.co/DEK4exs4tV","Twitter Web App",140,,,,FALSE,TRUE,0,3,,,"Technology Innovation BigData SEO Markets",,"CloudReporters.com","https://t.co/Mx4X2al7eF","http://CloudReporters.com",,,,,,,,,"x817634978","Domenclature","en",,,,,,,,,,,,,,,,"x1180952394890219520","FOR SALE NOW:

https://t.co/Mx4X2al7eF 
CloudReporters .com

15% OFF!

#Technology #Innovation #BigData #SEO #Markets #Investing #Ai  #Business #Tech #Cloud #domaining #blog #Chat #China #UK #Computing #Art #Hosting #Canada #Germany #Tech #Analytics
https://t.co/DEK4exs4tV",2019-10-06 21:06:06,"Twitter Web App",2,3,"x817634978","Domenclature","Domenclature",5306,5287,18898,"","Innovation | Ai | Design | Gaming | Branding | Vehicle ©2020",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Domenclature/status/1181587446925914113","Domenclature","","Innovation | Ai | Design | Gaming | Branding | Vehicle ©2020","https://t.co/GTUeOSGXvp",FALSE,5306,5287,2240,18898,590,2012-09-11 15:26:19,FALSE,"https://t.co/GTUeOSGXvp","http://domenclature.com/",,"https://pbs.twimg.com/profile_banners/817634978/1520414550","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/965412345278218240/tHMviKoe_normal.jpg"
"x817634978","x1181587261470564354",2019-10-08 15:08:50,"Domenclature","A #DOMAIN FOR SALE!

https://t.co/fnAzPkSnJ3     
CoinBriefings .com

#Bitcoin #Cloud  #Blog #Chat #Crypto #Cryptocurrency #DomainNameForSale #Magazine #Domaining #Tech #Japan #China #UK #Canada #Business #Coin #SEO #Analytics #ICANN #Information #Social https://t.co/Lt6cdAoPcq","Twitter Web App",140,,,,FALSE,TRUE,0,1,,,"DOMAIN Bitcoin Cloud Blog Chat Crypto",,"CoinBriefings.com","https://t.co/fnAzPkSnJ3","http://CoinBriefings.com",,,,,,,,,"x817634978","Domenclature","en",,,,,,,,,,,,,,,,"x1181060365188096005","A #DOMAIN FOR SALE!

https://t.co/fnAzPkSnJ3     
CoinBriefings .com

#Bitcoin #Cloud  #Blog #Chat #Crypto #Cryptocurrency #DomainNameForSale #Magazine #Domaining #Tech #Japan #China #UK #Canada #Business #Coin #SEO #Analytics #ICANN #Information #Social https://t.co/Lt6cdAoPcq",2019-10-07 04:15:08,"Twitter Web App",0,1,"x817634978","Domenclature","Domenclature",5306,5287,18898,"","Innovation | Ai | Design | Gaming | Branding | Vehicle ©2020",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Domenclature/status/1181587261470564354","Domenclature","","Innovation | Ai | Design | Gaming | Branding | Vehicle ©2020","https://t.co/GTUeOSGXvp",FALSE,5306,5287,2240,18898,590,2012-09-11 15:26:19,FALSE,"https://t.co/GTUeOSGXvp","http://domenclature.com/",,"https://pbs.twimg.com/profile_banners/817634978/1520414550","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/965412345278218240/tHMviKoe_normal.jpg"
"x142958998","x1181586999469367296",2019-10-08 15:07:48,"MediaPlatform","Our Video Business Intelligence (VBI) provides real-time live webcast monitoring &amp; post-event network analytics give you peace of mind that your end users received a quality video experience that is effectively delivered across the corporate network.
https://t.co/VMcQnW7SJP","Hootsuite Inc.",278,,,,FALSE,FALSE,0,0,,,,,"ow.ly/yndD50wFGvl","https://t.co/VMcQnW7SJP","http://ow.ly/yndD50wFGvl",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MediaPlatform/status/1181586999469367296","MediaPlatform","","",,FALSE,152,168,109,1995,37,2010-05-12 05:50:38,FALSE,,,,"https://pbs.twimg.com/profile_banners/142958998/1546528979","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1080846824200638465/RuAH4sFz_normal.jpg"
